skeptical, adj. 怀疑的
averse," adj. 厌恶的, 反对的"
scintillating," adj. 才气横溢的, 闪烁的
动词scintillate的现在分词形式"
outgrowth, n. 自然结果，副产品，长出，长出物
clinical, adj. 临床的
homeland, n. 祖国
tangle," n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
industrialist," n. 工业家, 实业家"
fluorescent," n. 日光灯
adj. 萤光的"
coalesce," v. 合并, 联合, 接合"
assumption," n. 假定,设想,担任(职责等),假装"
negligent," adj. 疏忽的, 粗心的, 不在意的"
negotiation," n. 谈判, 协商"
mystification, n. 故弄玄虚，迷惑，神秘化
dethrone, vt. 废除(君主)
oversee," v. 向下看,了望,监督"
attorney, n. (辩护)律师
disquiet," vt. 使不安，使担心
n. 担心，焦虑"
notorious, adj. 臭名昭著的
belligerent," adj. 好战的, 交战的, 交战国的
n. 交战者"
feminine, adj. 女性的
noxious," adj. 有害的, 有毒的"
coincidental, adj. 巧合的
nullify," v. 使无效, 废弃, 取消"
dichotomous," adj. 分成两个的, 叉状分枝的"
pronouncement," n. 宣布, 宣告, 声明, 判决"
diversity," n. 多样化，（人在种族、民族、宗教等方面的）多样性； 差异； 分歧
vt. 使不同,使多样化"
industrialism," n. 产业主义, 工业制度"
psychiatry, n. 精神病学
partiality," n. 偏袒, 偏心，癖好"
transition," n. 过渡,转变"
communal, adj. 公有的
onset," n. 攻击, 进攻, 肇端"
assimilation," n. 同化, 同化作用, 消化"
ineffectual," adj. （东西）无效的, 无益的, 白费的，（人）无能的"
mockery," n. 嘲弄, 笑柄, 蔑视"
cation," 正离子, 阳离子"
flair,n. 天资；天分；资质；鉴别力
cutaneous, adj. 皮肤的，影响皮肤的
entirely, adv. 完全地
pamphlet, n. 小册子
panic," n. 恐慌,惊惶
adj. 惊慌的,没有理由的,恐慌的
vt. 使...惊慌"
wrongdoing, n. 坏事，不道德行为
operable, adj. 可操作的，切实可行的，可以开刀的
patent," n. 专利权,执照,专利品
adj. 专利的,显著的,新奇的
v. 取得...的专利权,请准专利"
unclear," adj. 不易了解的, 不清楚的, 含混的"
biosphere, n. 生物圈
corrective," adj. 纠正的, 改正的, 矫正的
n. 改善法, 矫正物"
congruent, adj.合适的，一致的，全等的
philosophic," adj.哲学的,哲学家的,达观的"
melodrama, n. 情节剧；音乐剧；耸人听闻的事件，闹剧
adequacy, n. 足够，适当
feelingly," adv. 感动地, 充满感情地"
inflammatory," adj. 煽动性的, 使激怒的, 炎症的, 发炎的"
pluralist," n. 兼管数个教堂者,兼职者,多元论者"
gait, n. 步态
metaphysical," adj. 形而上学的，抽象的
Metaphysical adj. (英国)玄学派诗歌或诗人的"
fictionalize, vt. 使小说化
generic," adj.一般的,普通的,共有的，没有商标的
n.  无商标的药品"
graze," v. 放牧，（牛、羊等）吃草，
v. 轻擦，蹭
n. 放牧
n. 擦伤"
skepticism," n. 怀疑论, 怀疑态度, 怀疑主义"
unpretentious, adj. 不炫耀的，含蓄的，谦虚的
penchant, n. 喜好(倾向)
rancorous," adj. 怨恨的, 憎恨的"
potent," adj. 强有力的,有效的"
cape," n. 岬, 海角, 披肩"
hamper," n. 食盒,食篮
v. 阻碍,使...困累,困累"
artwork, n. 艺术品，美术品，(总称）插图
vigilant," adj. 警醒的, 警戒著的, 警惕的"
incredible," adj. 难以置信的, 惊人的"
cautious," adj. 十分小心的, 谨慎的"
migration," n. 移民,移往,移动"
lark," n. 云雀, 百灵鸟
n. 嬉戏，玩笑
vi. 嬉戏"
compassion," n. 同情,怜悯"
lesser," adj. 较少的, 较小的, 次要的"
unconscionable," adj. 不合理的, 没有条理的, 过度的"
warranty," n. 担保,保证,根据"
indolence, n. 怠情
misplaced, adj. 不合时宜的；不适宜的；爱情、信任等给错对象的；不该给的
regrettable, adj. 令人遗憾的；可惜的；可悲的；抱歉的
conducive, adj. 有助于...的
authoritarian," adj. 权力主义的, 独裁主义的
n. 独裁主义者，权力主义者"
combative, adj. 好斗的
brownish, adj. 带褐色的，呈褐色的
soloist," n. 独奏者, 独唱者"
consign," v. 交付, 分配, 委托"
handedness, n. 用右手或左手的习惯，旋向性
mortality," n. 必死的命运,死亡数目,死亡率"
Proterozoic," n. 元古代 
adj. 元古代的"
ecosystem, n. 生态系统
contradictory," adj. 反驳的,反对的,抗辩的
n. 正反对,矛盾对立"
policymaker, n. 决策者，政策制定者
hypocrisy, n. 伪善
painstaking," n. 辛苦,苦心,工夫
adj. 辛苦的,勤勉的,小心的"
reprint," vt. 再版, 重印
n. 再版，重印本"
compact," adj. 紧凑的,紧密的,简洁的
v. 使装满,使简洁"
ignoble," adj. 平民的，卑贱的, 卑鄙的, 不光彩的"
crochet," n. 编织器，钩针织物
v. 用钩针编织"
melody," n. 旋律,曲子,美的音乐,曲调"
rebate," n. 回扣
vt. 减少, 变钝
vi. 减少"
abysmal," adj. 深不可测的, 无底的，糟透了的"
advertiser," n. 广告商, 广告客户"
brocade, n. 织锦
rhesus," n. 恒河猴
=rhesus monkey"
refugee," n. 难民, 流亡者"
acolyte," n. (教士的)助手, 侍僧"
photosensitive, adj. 感光性的
triviality," n. 琐事, 平凡, 轻浮"
misinform, vt. 告诉 ... 错误的消息
shrewd, adj. 精明的
reside," v. 住,居留,属于"
continental, adj. 大陆的
overpower, vt. 压倒，制服，给以过大的动力
resurge," v. 再起,复活,复生"
anemone, n. 银莲花属植物，海葵
ridicule," n. 嘲笑, 愚弄, 笑柄
v. 嘲笑, 嘲弄, 愚弄"
rocker, n. 摇轴，套钩，镰刀弯，&lt;口&gt;摇滚乐演奏者
masterful," adj. 傲慢的, 熟练的"
repress," v. 抑制,压制,阻止"
daguerreotype," n. (早期)银板照相, 银版照片
vt. 用银版法拍摄"
somatic," adj. 身体的, 肉体的, 体壁的"
cuckoo," n. 杜鹃, 布谷鸟，咕咕声
n. 傻子，疯子
vt. 发出咕咕声
adj. 愚蠢的, 疯狂的"
inflexible," adj.不可弯曲的，僵硬的, 顽固的，不可改变的，不容变更的"
deign," v. 屈尊,惠允(做某事)
vi. 屈尊
vt. 赐于"
recombinant," n. 重组[复合]器官, 重组细胞, 重组体[子]"
inexact," adj. 不精确的, 不准确的"
delusion, n. 错觉
stereotype," n. 铅版,陈腔滥调,老一套
vt. 使用铅版,套用老套"
sterilize, vt. 使不育，杀菌，使贫瘠
byproduct, n. 副产品
coloration, n. 着色
unitary, adj. 单一的；统一的；单位的
personality," n. 个性, 名人, 特色"
congruence," n. 适合,一致,相合性"
derelict," adj. 被抛弃了的,无主的,玩忽职守的
n. 遗弃物,被遗弃的人,玩忽职守者"
commitment," n. 委托,实行,承诺,保证(律）拘禁令，奉献，献身"
observational, adj. 根据观察的，监视的
decorum," n. 端正, 礼貌合宜, 礼仪"
heretical," adj. 异教的, 异端的"
interim," adj. 中间的,暂时的,临时的
n. 中间时期,过渡时期,暂定"
redemptive," adj. 赎回的, 买回的, 赎身的"
ecologist, n. 生态学家
savor," n. 滋味, 气味, 食欲, 特定的味道或气味, 一种有特色的性质
vi. 有...的滋味, 有...气味
vt. 加调味品于, 使有风味, 尝到或闻到, 尽情享受"
authenticity," n. 确实性, 真实性"
renewal," n. 更新, 革新, 复兴, 复活"
governmental, adj. 政府的，政治的
detective," adj. 侦探的
n. 侦探"
discretion," n. 谨慎,判断力,个人选择,选择的自由
[计算机] 判定"
navel," n. 肚脐, 中央, 中心"
bystander, n. 旁观者
inattentive," adj. 不注意的, 怠慢的, 疏忽的"
transgression," n. 违反, 犯罪, 逸出"
substrate," n. 基片(基层, 真晶格, 基质)
n. 衬底"
coldness," n. 寒冷, 冷淡"
plasma," n. 等离子体(血浆,深绿玉髓)"
literal," adj. 逐字的, 字面上的, 文字的
[计算机] 文字的"
literally," adv. 逐字地, 按照字面上地, 不夸张地"
solidify," vt. 使牢固，使团结
vi. 变坚固，变结实"
embryo," n. 胚胎,萌芽"
suite," n. 随员, 套房, 一组"
chaotic, adj. 混沌的；混乱的，无秩序的
interrelate," vt.（使）互相关连, （使）相关"
rancor," n. 敌意, 恨意"
prerogative," adj. (有)特权的
n. 特权"
diet," n. 日常饮食，规定饮食
vt. 照规定饮食
adj. 低卡路里的"
stall," n. 货摊, 托辞, (教堂内）唱诗班和牧师的座位, 熄火
vt. 使...陷于泥中, 使停止
vi. 陷入泥中, 发生障碍"
authorial, adj. 著者的
arguably, adv. 可论证地，可辩论地
suspension," n. 悬挂,悬浮液,暂缓,未决,中止"
residency," n. 居住，住所，管辖区
(美)高级专科住院实习(期)"
apprehension," n. 理解, 忧惧, 逮捕"
elemental," adj. 元素的, 基本的，自然力的
n. 元素"
somber," adj. 微暗的, 阴天的, 阴森的，忧郁的，严肃的，严峻的"
abundance," n. 丰富,充裕"
choreography," n. 舞蹈, 舞蹈编排"
acquaint, vt. 使...熟知
stubborn," adj. 顽固的, 倔强的，难对付的"
studio," n. 工作场所,画室，照相室，制片厂"
enact," vt. 制定法律,扮演"
positron, n. 正电子
figurative," adj. 比喻的, 形容多的, 修饰丰富的"
endow," vt. 捐助,赋予,使具有某种品质"
microwave," n. 微波,微波炉
vt. 用微波炉加热"
syncopate," vt. 词中省略, 缩写，[音]切分"
manipulate," v. 操纵,利用,假造
[计算机] 操作"
illogical," adj. 不合逻辑的, 不合理的"
revivify," vt. 使复生, 使复活, 使振奋精神"
witticism," n. 名言,机敏,妙语"
buffet," n. 打击, 饮食柜台, 自助餐
vt. 打击, 连续猛击
adj. 受到非正式接待的(如同冷餐会般随意的)"
procurement," n. 取得, 征购, 斡旋, 促成"
mete," vt. 量, 测量, 分配
n. 边界, 界石"
probabilism, n. 盖然论
sterile, adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
talented, adj. 有才能的(多才的)
census," n. 户口普查
v. 实施统计调查"
sweeten," v. (使)变甜, 使愉悦, 净化"
autonomous, adj. 自治的
arcane," adj. 神秘的, 秘密的"
supervision," n. 监督, 管理"
disenfranchise, v. (=disfranchise)剥夺...公民权
lifelong," adj. 终身的, 毕生的"
condenser," n. 凝结器, 凝缩器, 冷却器"
conditional," adj. 有条件的, 假定的，假设的
n. [语]条件句"
implosion, n. 向内破裂，内向压挤，内爆发音
substantiate," v. 实体化, 证实"
negligible," adj. 可以忽略的,微不足道的"
negotiate," vt. 转让,越过,处理,协商
vi. 协商"
mobilization, n. 动员，流动
disingenuous," adj. 不老实的, 不诚实的, 虚伪的"
sumptuous," adj. 华丽的, 奢侈的"
controversial," adj. 引起争论的,有争议的"
disputant," n. 争执者, 争论者"
concomitant," adj. 相伴, 附随的, 共存的
n. 附随物"
extol," vt. 颂扬, 称赞"
malevolent," adj. 有恶意的, 恶毒的"
ozone," n. 臭氧, 新鲜空气"
collectively, adv. 共同地，集体地，总体地
sector," n. 扇形,扇区,部门,区域
vt. 分区"
pagan," n. 异教徒，无宗教信仰者
adj. 异教的, 异教徒的，无宗教信仰的"
falter," v. 支吾地说,迟疑,蹒跚地走"
ambivalence, n. 矛盾情绪，矛盾心理
differentiate," vt. 识别, 使差异, 求导数, 区分, 区别对待
vi. 区别,变异"
fateful," adj. 宿命的, 重大的, 决定性的"
feat," n. 壮举,功绩,技艺表演"
disclaimer," n. 放弃'拒绝,不承诺,放弃者，免责声明"
commensurate," adj. 同样大小的, 相称的"
occult," adj. 神秘的,不可思议的,超自然的
v. 掩蔽,隐藏"
imperious," adj. 傲慢的, 专横的"
cleanliness, n. 清洁
indecorous," adj. 无体的, 不合礼节的"
approximation, n. 接近，近似，近似值
educational, adj. 教育的，有教育意义的
competence," n. 能力,管辖权,技能"
inextricably, adv. 分不开地
outspoken," adj. 直言无讳的, 坦率的
动词outspeak的过去分词"
erupt, v. 爆发
unmatched," adj. 无配偶的,无匹敌的,不相配的"
unpalatable," adj. 不适口的,味道差的,不好吃的"
drone," n. 雄蜂, 游手好闲者, 嗡嗡声，无人驾驶飞机（或艇等），单调的低音
vi. 发出嗡嗡的声音, 混日子
vt. 单调低沉地说，过着单调无聊的日子"
universally, adv. 普遍地
patriotic, adj. 爱国的
valve," n. 瓣膜,阀门,电子管,真空管"
ranger," n. 守林人, 骑警, 突击队员"
bourgeois," n. 中产阶级的人，资产阶级的人，追求物质享受的人
adj. 中产阶级的，追求名利的，资产阶级的"
morphogenetic," 形态发生的
地貌成因的
地貌发生的
形态形成的"
perfection," n. 完美, 完善"
quadruple," adv.&amp;adj. 四倍的(地)
n. (使)乘四倍
v. (使)成四倍"
irresponsible," adj. 不负责任的, 不可靠的，没有承担能力的"
violation," n. 违反,违背,妨碍"
preexist," vt. 先于 ... 存在
vi. 先前存在"
global," adj. 全球性的, 全局的"
petition," n. 祈求,请愿书,诉状
vi. 请愿,祈求
vt. 向...请愿或祈求"
platitudinous," adj. 平凡的,陈腐的"
annihilation," n. 歼灭, 消灭, 湮灭"
bauxite, n. 铝土岩(产铝的矿土、石)
renaissance," n. 文艺复兴,再生"
glean," v. 拾落穗, 收集"
implicit," adj. 暗示的,盲从的
[计算机] 隐式"
celebration," n. 典礼,宗教仪式,庆祝"
desirability, n. 称心如意的人(东西)，有利条件
autobiographical," adj. 自传的,自传体的"
insider," n. 内部的人,会员,知道内情的人"
veto," n. 否决权
v. 否决
vi. 否决, 禁止
vt. 使用否决权"
rebellious," adj. 造反的, 反抗的, 难控制的"
imbue," v. 灌输，使感染, 使充满"
individualistic, adj. 个人主义的
puritanism," n. 道德上的极端拘谨
Puritanism：
n. 清教主义"
circumstantiality, n. 详尽(事件的详情)
hazardous," adj. 危险的,冒险的,碰运气的"
naturalistic," adj. 自然的,自然主义的,博物学的"
propound," v. 提出(问题)
vt. 提议"
publicly, adv. 公开地
monastery," n. 修道院, 寺院"
graft," n. 接枝, 贪污
v. 接枝, 使结合"
presuppose," v. 预先假定, 预料, 预料为必要的条件"
coup," n. 砰然的一击, 妙计, 出乎意料的行动"
prudent," adj. 谨慎的, 有远见的, 精打细算的"
romanticism," n. 浪漫精神, 浪漫主义"
politico, n. 政客
deprave," vt. 使堕落, 使恶化, 使腐败"
continuation," n. 继续, 延续，续集"
overjoyed, adj. 极度高兴的，欣喜若狂的
happening," n. 偶然发生的事
动词happen的现在分词形式"
undivided," adj. 没分开的, 专一的"
combustion, n. 燃烧
semantic, adj. 语义的
commendatory," adj. 赞赏的, 推荐的"
preventable, adj. 可防止的，可预防的
unstudied," adj. 不造作的, 优雅的"
inauguration," n. 就职典礼, 落成典礼, 开幕仪式"
undervalue, vt. 低估价值，看轻
quietly," adj. 寂静地, 静止地
adv. 安静地, 平静地"
rewrite," n. 重写, 改写
vt. 改写, 重写
vi. 修改"
identifiable, adj. 可辨认的
sentimentality," n. 多愁善感, 伤感"
coexist," vi. 同时存在(于同一处), 共存"
phobia," n. 恐怖病, 恐怖症"
unfounded, adj. 无事实根据的，无基础的，尚未建立的
compression," n. 压缩, 压榨, 缩小"
phylogeny, n. 动植物种类进化史，系统发生论
airflow, n. 气流
documentation, n. 文件
dosage, n. （药物等的）剂量，服法
mystic," adj. 神秘的，神秘主义者的
n. 神秘主义者"
comet, n. 彗星
tried," try的过去式，过去分词
adj. 可靠的，备受苦难的"
requisite," adj. 必要的, 需要的
n. 必需品"
remnant," adj. 剩余的
n. 残(剩)余"
sedimentation, n. 沉淀，沉降
reminiscent," adj. 回忆的, 怀旧的, 耽于回想的
n. 回忆者, 回忆录作者"
voluntarily," adv. 自动地, 以自由意志"
incidental," adj. 附带的, 偶然的, 容易发生的"
indulge," vt. 纵情于,放任,迁就
vi. 放纵自己于..."
institute," n. 学会,学院,协会
vt. 创立,开始,制定"
inertia," n. 惯性,惰性"
mar," n. 污点
vt. 损毁
abbr.=March 三月"
repudiate," v. 拒绝, 拒付, 拒绝履行"
perturbation," n. 扰动(微扰, 波动, 破坏, 摄动)"
cliche, n. 陈腔滥调
safeguard," n. 保卫,保护措施或条款
v. 保卫,保护"
